year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2024,chih,13,chih13,pan,23.16%,18.38%,2.05%,3.93%,2.99%,7.84%,36.17%,0.77,4.4,0.43,,,
2024,chih,14,chih14,pan,39.17%,9.20%,2.10%,3.29%,3.51%,8.33%,32.91%,0.72,3.6,0.44,,,
2024,chih,15,chih15,pan,47.99%,10.11%,2.45%,1.65%,2.78%,5.43%,27.72%,0.68,3.1,0.38,,,
2024,chih,16,chih16,pan,36.29%,9.67%,2.51%,2.24%,4.01%,6.56%,35.64%,0.72,3.6,0.45,,,
2024,chih,17,chih17,pan,36.16%,8.33%,2.38%,3.04%,2.86%,6.19%,38.53%,0.71,3.4,0.44,,,
2024,chih,18,chih18,pan,55.29%,9.88%,2.40%,1.16%,1.94%,4.53%,23.19%,0.63,2.7,0.22,,,
2024,chih,19,chih19,pan,38.02%,7.86%,1.70%,2.59%,2.97%,7.29%,38.72%,0.69,3.2,0.37,,,
2024,chih,20,chih20,pan,31.60%,13.81%,2.85%,2.83%,0.00%,19.99%,27.09%,0.77,4.3,0.35,,,
2024,chih,21,chih21,pan,21.30%,18.90%,1.77%,4.57%,2.86%,23.58%,24.24%,0.8,5,0.4,,,
2024,chih,22,chih22,pan,11.10%,32.58%,1.39%,2.70%,9.39%,5.01%,36.55%,0.74,3.8,0.75,,,
2016,chih,1,chih1,pri,35.60%,0.00%,32.31%,0.00%,0.00%,0.00%,8.97%,0.75,4,,,,
